DATE,STIOLD
1987-12-28,690.9
1987-12-29,681.16
1987-12-30,687.63
1988-01-04,693.71
1988-01-05,739.84
1988-01-06,770.02
1988-01-07,766.49
1988-01-08,750.9
1988-01-11,705.38
1988-01-12,728.64
1988-01-13,712.84
1988-01-14,720.03
1988-01-15,729.14
1988-01-18,768.29
1988-01-19,757.5
1988-01-20,763.37
1988-01-21,750.86
1988-01-22,745.36
1988-01-25,752.52
1988-01-26,749.35
1988-01-27,742.06
1988-01-28,744.83
1988-01-29,748.97
1988-02-01,739.12
1988-02-02,729.05
1988-02-03,735.81
1988-02-04,730.01
1988-02-05,720.21
1988-02-08,709.62
1988-02-09,702.72
1988-02-10,708.67
1988-02-11,715.63
1988-02-12,719.27
1988-02-15,726.4
1988-02-16,732.74
1988-02-19,735.75
1988-02-22,746.34
1988-02-23,742.89
1988-02-24,739.65
1988-02-25,736.54
1988-02-26,737.65
1988-02-29,742.5
1988-03-01,742.78
1988-03-02,742.17
1988-03-03,763.99
1988-03-04,775.03
1988-03-07,767.56
1988-03-08,768.68
1988-03-09,783.57
1988-03-10,792.29
1988-03-11,787.87
1988-03-14,800.06
1988-03-15,796.12
1988-03-16,793.43
1988-03-17,802.11
1988-03-18,803.92
1988-03-21,817.24
1988-03-22,803.46
1988-03-23,805.21
1988-03-24,798.12
1988-03-25,784.42
1988-03-28,765.16
1988-03-29,761.0
1988-03-30,773.7
1988-03-31,765.24
1988-04-04,758.43
1988-04-05,766.4
1988-04-06,774.29
1988-04-07,781.47
1988-04-08,775.5
1988-04-11,776.32
1988-04-12,774.93
1988-04-13,782.81
1988-04-14,782.91
1988-04-15,761.29
1988-04-18,758.23
1988-04-19,756.22
1988-04-20,762.93
1988-04-21,767.07
1988-04-22,774.61
1988-04-25,779.92
1988-04-26,777.37
1988-04-27,778.48
1988-04-28,785.42
1988-04-29,788.47
1988-05-03,791.79
1988-05-04,793.72
1988-05-05,793.79
1988-05-06,793.61
1988-05-09,792.98
1988-05-10,786.76
1988-05-11,784.77
1988-05-12,778.7
1988-05-13,790.03
1988-05-16,790.95
1988-05-18,795.73
1988-05-19,784.83
1988-05-20,783.53
1988-05-23,775.64
1988-05-24,769.67
1988-05-25,776.01
1988-05-26,784.09
1988-05-27,790.79
1988-05-31,797.85
1988-06-01,803.12
1988-06-02,810.57
1988-06-03,817.22
