DATE,LF99TRUU Index
2008-05-07,272.154449
2008-05-08,271.315948
2008-05-09,272.58493
2008-05-12,271.716187
2008-05-13,273.130524
2008-05-14,271.006561
2008-05-15,266.560516
2008-05-16,263.25589
2008-05-19,262.054504
2008-05-20,263.223633
2008-05-21,264.958954
2008-05-22,265.526184
2008-05-23,266.802917
2008-05-27,268.91568
2008-05-28,266.60495
2008-05-29,262.403076
2008-05-30,261.125
2008-06-02,263.560669
2008-06-03,265.339691
2008-06-04,266.19574
2008-06-05,266.368652
2008-06-06,265.910553
2008-06-09,264.02771
2008-06-10,261.530914
2008-06-11,261.327209
2008-06-12,262.93692
2008-06-13,261.336578
2008-06-16,261.889923
2008-06-17,262.393982
2008-06-18,260.652222
2008-06-19,260.906647
2008-06-20,261.943085
2008-06-23,263.038147
2008-06-24,266.358398
2008-06-25,266.262787
2008-06-26,268.886902
2008-06-27,285.321533
2008-06-30,287.929657
2008-07-01,289.8685
2008-07-02,288.219116
2008-07-03,288.795105
2008-07-07,289.986328
2008-07-08,290.459503
2008-07-09,289.621918
2008-07-10,289.764252
2008-07-11,291.30899
2008-07-14,289.543671
2008-07-15,301.698212
2008-07-16,308.056244
2008-07-17,309.669678
2008-07-18,311.545807
2008-07-21,313.869934
2008-07-22,313.092651
2008-07-23,310.206207
2008-07-24,306.592102
2008-07-25,309.214081
2008-07-28,310.641266
2008-07-29,310.463776
2008-07-30,311.878204
2008-07-31,317.855682
2008-08-01,320.400116
2008-08-04,319.482941
2008-08-05,320.60788
2008-08-06,319.962006
2008-08-07,320.619019
2008-08-08,318.976898
2008-08-11,318.384796
2008-08-12,319.40094
2008-08-13,320.236328
2008-08-14,321.997925
2008-08-15,322.087769
2008-08-18,323.347168
2008-08-19,329.139008
2008-08-20,330.087036
2008-08-21,330.960754
2008-08-22,330.686218
2008-08-25,331.517609
2008-08-26,332.015411
2008-08-27,332.394409
2008-08-28,332.445404
2008-08-29,331.506683
2008-09-02,339.499084
2008-09-03,339.061768
2008-09-04,340.009735
2008-09-05,341.912384
2008-09-08,338.795288
2008-09-09,343.793488
2008-09-10,348.407471
2008-09-11,366.075531
2008-09-12,371.436127
2008-09-15,472.950775
2008-09-16,418.295013
2008-09-17,470.108765
2008-09-18,489.594238
2008-09-19,470.224915
2008-09-22,446.542847
2008-09-23,465.139587
2008-09-24,467.506561
2008-09-25,484.436432
2008-09-26,541.069885
2008-09-29,554.062927
2008-09-30,569.15741
2008-10-01,580.65332
2008-10-02,596.885864
2008-10-03,588.775696
2008-10-06,604.331421
2008-10-07,610.417908
2008-10-08,646.478027
2008-10-09,657.201782
2008-10-10,678.704224
2008-10-14,648.921265
2008-10-15,680.807068
2008-10-16,683.609375
2008-10-17,697.765625
2008-10-20,701.926025
2008-10-21,694.642578
2008-10-22,694.030518
2008-10-23,693.995911
2008-10-24,709.403381
2008-10-27,711.775757
2008-10-28,710.624878
2008-10-29,723.02948
2008-10-30,728.6651
2008-10-31,738.271118
2008-11-03,748.981018
2008-11-04,739.55011
2008-11-05,724.765625
2008-11-06,721.192566
2008-11-07,721.739197
2008-11-10,692.981506
