DATE,AS30
1984-01-17,765.1
1984-01-18,769.6
1984-01-19,779.2
1984-01-20,781.5
1984-01-23,777.6
1984-01-24,771.6
1984-01-25,766.0
1984-01-26,767.1
1984-01-27,765.6
1984-01-31,765.7
1984-02-01,765.6
1984-02-02,767.4
1984-02-03,776.8
1984-02-06,778.3
1984-02-07,762.2
1984-02-08,749.2
1984-02-09,747.7
1984-02-10,743.4
1984-02-13,738.6
1984-02-14,739.1
1984-02-15,742.5
1984-02-16,746.1
1984-02-17,750.2
1984-02-20,751.0
1984-02-21,744.5
1984-02-22,743.8
1984-02-23,745.4
1984-02-24,743.6
1984-02-27,745.8
1984-02-28,748.0
1984-02-29,737.8
1984-03-01,723.2
1984-03-02,726.3
1984-03-05,735.1
1984-03-06,735.4
1984-03-07,725.0
1984-03-08,718.6
1984-03-09,719.3
1984-03-12,719.2
1984-03-13,719.2
1984-03-14,721.6
1984-03-15,722.0
1984-03-16,734.0
1984-03-19,735.8
1984-03-20,731.9
1984-03-21,729.5
1984-03-22,729.8
1984-03-23,730.7
1984-03-26,732.3
1984-03-27,736.2
1984-03-28,740.1
1984-03-29,745.1
1984-03-30,750.5
1984-04-02,749.1
1984-04-03,745.0
1984-04-04,750.9
1984-04-05,755.5
1984-04-06,754.9
1984-04-09,758.6
1984-04-10,756.6
1984-04-11,756.3
1984-04-12,761.7
1984-04-13,764.0
1984-04-16,764.4
1984-04-17,763.1
1984-04-18,759.2
1984-04-19,759.3
1984-04-24,759.1
1984-04-26,752.9
1984-04-27,753.7
1984-04-30,756.0
1984-05-01,755.6
1984-05-02,761.0
1984-05-03,767.2
1984-05-04,762.9
1984-05-07,755.1
1984-05-08,750.8
1984-05-09,750.5
1984-05-10,747.9
1984-05-11,747.8
1984-05-14,739.1
1984-05-15,729.5
1984-05-16,730.2
1984-05-17,733.3
1984-05-18,725.4
1984-05-21,714.6
1984-05-22,700.5
1984-05-23,694.7
1984-05-24,689.5
1984-05-25,675.0
1984-05-28,678.0
1984-05-29,676.3
1984-05-30,668.8
1984-05-31,654.9
1984-06-01,665.2
1984-06-04,681.5
1984-06-05,674.7
1984-06-06,673.8
1984-06-07,679.4
1984-06-08,679.8
1984-06-12,666.0
1984-06-13,662.3
1984-06-14,661.9
1984-06-15,652.9
1984-06-18,646.3
1984-06-19,648.2
1984-06-20,653.5
1984-06-21,654.2
1984-06-22,659.3
1984-06-25,661.9
1984-06-26,656.3
1984-06-27,650.4
1984-06-28,650.4
1984-06-29,658.9
1984-07-02,658.9
1984-07-03,656.2
1984-07-04,663.4
1984-07-05,675.4
1984-07-06,667.9
1984-07-09,660.4
1984-07-10,666.5
1984-07-11,668.2
1984-07-12,665.7
1984-07-13,669.0
1984-07-16,676.9
1984-07-17,677.9
1984-07-18,678.8
1984-07-19,683.3
1984-07-20,680.9
1984-07-23,675.0
1984-07-24,671.5
1984-07-25,671.8
1984-07-26,682.5
1984-07-27,683.7
1984-07-30,682.4
1984-07-31,681.9
1984-08-01,687.3
1984-08-02,705.3
1984-08-03,712.9
1984-08-06,736.9
1984-08-07,728.4
1984-08-08,729.0
1984-08-09,726.9
1984-08-10,738.4
1984-08-13,734.0
1984-08-14,727.8
1984-08-15,735.1
1984-08-16,736.0
1984-08-17,733.9
1984-08-20,735.6
1984-08-21,739.3
1984-08-22,751.8
1984-08-23,747.7
1984-08-24,744.5
1984-08-27,744.7
1984-08-28,739.2
1984-08-29,735.7
1984-08-30,734.7
1984-08-31,733.4
1984-09-03,730.6
1984-09-04,728.7
1984-09-05,722.0
1984-09-06,721.0
1984-09-07,725.0
1984-09-10,712.5
1984-09-11,714.4
1984-09-12,718.1
1984-09-13,718.8
1984-09-14,726.0
1984-09-17,723.5
1984-09-18,718.2
1984-09-19,717.2
1984-09-20,721.8
1984-09-21,725.5
1984-09-24,731.8
1984-09-25,728.4
1984-09-26,727.5
1984-09-27,733.5
1984-09-28,739.1
1984-10-01,740.4
1984-10-02,738.8
1984-10-03,741.9
1984-10-04,744.4
1984-10-05,749.3
1984-10-08,745.3
1984-10-09,742.6
1984-10-10,742.3
1984-10-11,746.4
1984-10-12,749.1
1984-10-15,753.0
1984-10-16,754.3
1984-10-17,747.9
1984-10-18,743.9
1984-10-19,748.6
1984-10-22,745.4
1984-10-23,741.8
1984-10-24,747.7
1984-10-25,748.8
1984-10-26,750.6
1984-10-29,750.8
1984-10-30,749.0
1984-10-31,753.6
1984-11-01,754.5
1984-11-02,766.1
1984-11-05,770.7
1984-11-06,773.0
1984-11-07,777.7
1984-11-08,779.1
1984-11-09,779.2
1984-11-12,776.1
1984-11-13,778.3
1984-11-14,778.6
1984-11-15,779.7
1984-11-16,782.5
1984-11-19,774.9
1984-11-20,772.3
1984-11-21,774.3
1984-11-22,772.7
1984-11-23,770.1
1984-11-26,765.5
1984-11-27,752.6
1984-11-28,751.2
1984-11-29,744.8
1984-11-30,749.5
1984-12-03,740.1
1984-12-04,737.7
1984-12-05,737.8
1984-12-06,727.2
1984-12-07,726.5
1984-12-10,724.1
1984-12-11,723.7
1984-12-12,721.3
1984-12-13,716.4
1984-12-14,718.7
1984-12-17,714.2
1984-12-18,708.1
1984-12-19,718.1
1984-12-20,717.5
1984-12-21,719.7
1984-12-24,723.2
1984-12-27,724.5
1984-12-28,726.1
1985-01-02,729.0
1985-01-03,726.5
1985-01-04,721.4
1985-01-07,715.2
